Name,PublicOrPrivate,Area/Prefecture,SchoolClass,NumStudent,NumBorrower,NumNewBorrowerH27,NumExitLendingH22toH26,NumPostponeSchoolH27_ExitLendingH22toH26,NumPostponeGeneralH27_ExitLendingH22toH26,NumReductionH27_ExitLendingH22toH26,NumPaidUpH27_ExitLendingH22toH26,NumDelayedOver1DayH27_ExitLendingH22toH26,RatioDelayedOver1DayH27_ExitLendingH22toH26,NumDelayedOver3MonthsH27_ExitLendingH22toH26,RatioDelayedOver3MonthsH27_ExitLendingH22toH26,RatioDelayedOver3MonthsH23_ExitLendingH22,RatioDelayedOver3MonthsH24_ExitLendingH23,RatioDelayedOver3MonthsH25_ExitLendingH24,RatioDelayedOver3MonthsH26_ExitLendingH25,RatioDelayedOver3MonthsH27_ExitLendingH26,NumExitLendingH26,NumDelayedOver3MonthsH27_ExitLendingH26,RatioDelayedOver3MonthsH25_ExitLendingH20toH24,RatioDelayedOver3MonthsH26_ExitLendingH21toH25,NumExitLendingH21toH25,NumDelayedOver3MonthsH26_ExitLendingH21toH25
白鳳短期大学,私立,近畿,短期大学,767,456,228,888,63,14,0,92,40,0.045,10,0.011,0,0.032,0,0.006,0,174,0,0.012,0.009,881,8
姫路日ノ本短期大学,私立,近畿,短期大学,86,39,24,95,1,5,0,7,7,0.074,0,0,0,0,0,0.04,0,23,0,0.012,0.023,86,2
武庫川女子大学短期大学部,私立,近畿,短期大学,1665,741,376,2153,184,21,4,248,87,0.04,8,0.004,0.011,0.006,0,0.009,0.003,367,1,0.004,0.005,2154,11
兵庫大学短期大学部,私立,近畿,短期大学,488,260,111,562,17,17,2,35,35,0.062,11,0.02,0.037,0.043,0.027,0.066,0.047,129,6,0.029,0.04,554,22
平安女学院大学短期大学部,私立,近畿,短期大学,162,91,45,194,1,2,0,18,16,0.082,4,0.021,0,0,0.034,0,0,36,0,0.013,0.014,209,3
豊岡短期大学,私立,近畿,短期大学,7568,41,21,83,6,4,0,5,2,0.024,0,0,0,0,0.143,0.059,0,24,0,0.061,0.057,70,4
湊川短期大学,私立,近畿,短期大学,327,194,106,463,27,14,3,35,38,0.082,9,0.019,0.039,0.047,0.011,0,0.046,108,5,0.021,0.014,416,6
藍野大学短期大学部,私立,近畿,短期大学,554,260,130,387,34,9,0,33,39,0.101,13,0.034,0.3,0.027,0.035,0.046,0.032,125,4,0.044,0.038,265,10
龍谷大学短期大学部,私立,近畿,短期大学,452,226,101,642,100,16,3,53,28,0.044,5,0.008,0.031,0.015,0.008,0.008,0.008,131,1,0.015,0.007,670,5
和歌山信愛女子短期大学,私立,近畿,短期大学,423,137,73,330,15,2,0,29,6,0.018,0,0,0.022,0,0,0,0,91,0,0.008,0,282,0
頌栄短期大学,私立,近畿,短期大学,329,141,65,331,18,3,0,37,24,0.073,5,0.015,0,0.018,0,0,0.022,93,2,0.026,0.014,286,4
安田女子短期大学,私立,中国,短期大学,396,175,70,599,12,1,1,47,15,0.025,3,0.005,0.009,0,0.009,0,0.008,125,1,0.007,0.003,599,2
宇部フロンティア大学短期大学部,私立,中国,短期大学,182,54,39,127,2,4,0,8,11,0.087,1,0.008,0.087,0,0.069,0.063,0,17,0,0.027,0.014,143,2
岡山短期大学,私立,中国,短期大学,172,72,36,212,4,7,0,10,10,0.047,5,0.024,0.025,0,0.03,0.02,0.018,57,1,0.015,0.014,207,3
下関短期大学,私立,中国,短期大学,127,55,33,104,2,4,0,7,10,0.096,6,0.058,0.143,0.056,0.048,0,0.121,33,4,0.062,0.042,96,4
岩国短期大学,私立,中国,短期大学,129,38,16,121,6,3,0,3,12,0.099,1,0.008,0,0.048,0.053,0,0.04,25,1,0.029,0.016,122,2
吉備国際大学短期大学部,私立,中国,短期大学,12,1,0,77,0,4,0,7,6,0.078,3,0.039,0,0.1,0.077,0,0.167,6,1,0.028,0.024,123,3
広島国際学院大学自動車短期大学部,私立,中国,短期大学,158,35,20,159,5,1,1,9,10,0.063,3,0.019,0.067,0,0.027,0.034,0,23,0,0.025,0.018,163,3
広島文化学園短期大学,私立,中国,短期大学,499,193,96,446,9,12,0,28,20,0.045,3,0.007,0.028,0,0,0,0.011,93,1,0.01,0.013,459,6
作陽音楽短期大学,私立,中国,短期大学,97,55,33,182,27,6,0,6,11,0.06,4,0.022,0,0.029,0,0,0.026,39,1,0.021,0.005,187,1
山口芸術短期大学,私立,中国,短期大学,319,90,47,292,9,3,0,10,22,0.075,0,0,0.017,0,0,0.02,0,59,0,0.01,0.007,280,2
山口短期大学,私立,中国,短期大学,177,56,23,151,8,4,2,4,13,0.086,4,0.026,0,0.033,0.063,0,0.026,38,1,0.055,0.028,144,4
山陽学園短期大学,私立,中国,短期大学,340,158,87,432,9,7,1,25,36,0.083,7,0.016,0.014,0.013,0.009,0.035,0.022,90,2,0.014,0.024,421,10
山陽女子短期大学,私立,中国,短期大学,326,163,75,376,20,9,0,31,7,0.019,2,0.005,0,0,0,0,0,83,0,0.003,0.009,340,3
就実短期大学,私立,中国,短期大学,410,144,78,438,10,3,0,27,19,0.043,4,0.009,0.012,0,0.01,0,0.028,72,2,0.002,0.002,426,1
川崎医療短期大学,私立,中国,短期大学,1086,549,181,1018,70,9,1,118,25,0.025,3,0.003,0,0.005,0,0,0,191,0,0.004,0.007,1029,7
中国短期大学,私立,中国,短期大学,493,243,123,709,27,11,4,34,36,0.051,9,0.013,0.021,0.008,0.012,0,0,140,0,0.007,0.011,706,8
鳥取短期大学,私立,中国,短期大学,548,253,134,772,31,12,7,39,38,0.049,4,0.005,0,0.014,0.006,0,0,167,0,0.012,0.012,748,9
比治山大学短期大学部,私立,中国,短期大学,607,237,134,646,27,11,4,38,39,0.06,6,0.009,0.023,0,0.022,0.008,0.007,136,1,0.013,0.014,644,9
美作大学短期大学部,私立,中国,短期大学,238,142,80,429,31,3,0,30,19,0.044,2,0.005,0.011,0.024,0,0,0.011,93,1,0.005,0.002,423,1
鈴峯女子短期大学,私立,中国,短期大学,362,146,71,428,14,11,1,26,30,0.07,8,0.019,0.027,0.025,0.01,0.012,0.045,88,4,0.016,0.007,407,3
環太平洋大学短期大学部,私立,四国,短期大学,150,94,54,280,5,7,4,16,26,0.093,11,0.039,0.042,0.015,0,0,0,40,0,0.03,0.013,300,4
香川短期大学,私立,四国,短期大学,557,186,85,441,21,2,2,30,26,0.059,9,0.02,0.012,0.011,0.036,0.025,0.039,102,4,0.022,0.019,420,8
高松短期大学,私立,四国,短期大学,236,67,41,191,6,2,0,8,7,0.037,0,0,0,0,0,0,0,40,0,0.023,0,183,0
高知学園短期大学,私立,四国,短期大学,800,491,220,1000,78,21,0,52,32,0.032,6,0.006,0.006,0.015,0.02,0.009,0.005,214,1,0.009,0.011,900,10
今治明徳短期大学,私立,四国,短期大学,200,55,40,143,8,3,0,15,16,0.112,4,0.028,0.04,0.043,0.069,0.061,0,33,0,0.057,0.063,144,9
四国大学短期大学部,私立,四国,短期大学,355,163,78,370,17,10,0,18,19,0.051,4,0.011,0.014,0.013,0,0,0,85,0,0.005,0.003,368,1
松山短期大学,私立,四国,短期大学,197,80,43,238,37,8,4,8,13,0.055,6,0.025,0.02,0.052,0.023,0,0.021,47,1,0.029,0.022,224,5
松山東雲短期大学,私立,四国,短期大学,608,260,157,623,19,3,1,46,18,0.029,6,0.01,0.02,0,0,0.008,0,140,0,0.009,0.009,588,5
聖カタリナ大学短期大学部,私立,四国,短期大学,225,105,52,233,14,2,0,13,16,0.069,3,0.013,0,0.056,0,0.018,0,48,0,0.021,0.021,242,5
徳島工業短期大学,私立,四国,短期大学,128,50,24,108,10,3,0,5,12,0.111,8,0.074,0,0.05,0.174,0.087,0,28,0,0.07,0.065,93,6
徳島文理大学短期大学部,私立,四国,短期大学,245,102,50,284,10,8,0,13,19,0.067,4,0.014,0,0,0.041,0.013,0,45,0,0.014,0.017,300,5
沖縄キリスト教短期大学,私立,九州,短期大学,441,244,126,621,64,26,4,34,43,0.069,12,0.019,0,0.018,0,0.028,0.038,133,5,0.023,0.015,600,9
沖縄女子短期大学,私立,九州,短期大学,531,326,186,818,61,31,2,23,81,0.099,31,0.038,0.051,0.007,0.049,0.051,0.025,203,5,0.05,0.043,742,32
久留米信愛女学院短期大学,私立,九州,短期大学,232,97,55,311,9,8,0,15,16,0.051,6,0.019,0.017,0,0.029,0.032,0.018,56,1,0.023,0.031,322,10
宮崎学園短期大学,私立,九州,短期大学,572,344,191,915,35,29,1,31,50,0.055,10,0.011,0.012,0.007,0.01,0.023,0.005,221,1,0.018,0.016,876,14
近畿大学九州短期大学,私立,九州,短期大学,4418,138,72,330,16,9,0,23,27,0.082,13,0.039,0.048,0.076,0.031,0.015,0.057,70,4,0.042,0.027,301,8
九州女子短期大学,私立,九州,短期大学,372,222,105,552,46,16,5,22,24,0.043,9,0.016,0,0,0.009,0.008,0.042,120,5,0.002,0.006,523,3
九州造形短期大学,私立,九州,短期大学,249,123,75,326,19,15,3,21,30,0.092,6,0.018,0.014,0.011,0.053,0.018,0,55,0,0.025,0.021,335,7
九州大谷短期大学,私立,九州,短期大学,355,149,74,422,20,11,0,30,33,0.078,13,0.031,0.012,0.028,0.032,0.046,0,89,0,0.02,0.023,441,10
九州龍谷短期大学,私立,九州,短期大学,174,88,50,233,10,6,0,13,14,0.06,3,0.013,0.093,0.026,0,0,0,57,0,0.03,0.014,216,3
香蘭女子短期大学,私立,九州,短期大学,819,474,272,1163,42,24,3,53,87,0.075,23,0.02,0.013,0.013,0.018,0.009,0.026,272,7,0.025,0.017,1089,18
佐賀女子短期大学,私立,九州,短期大学,341,148,89,570,14,11,0,31,37,0.065,7,0.012,0.019,0.009,0.034,0.009,0.042,118,5,0.018,0.011,610,7
鹿児島純心女子短期大学,私立,九州,短期大学,513,263,145,672,24,4,0,43,22,0.033,4,0.006,0.007,0.008,0.009,0,0.007,152,1,0.019,0.009,667,6
鹿児島女子短期大学,私立,九州,短期大学,950,584,282,1472,53,22,2,92,63,0.043,12,0.008,0.006,0.004,0,0.01,0.003,328,1,0.004,0.008,1386,11
純真短期大学,私立,九州,短期大学,358,218,112,503,13,15,0,17,51,0.101,11,0.022,0,0.037,0,0.035,0.025,120,3,0.015,0.025,434,11
尚絅大学短期大学部,私立,九州,短期大学,585,274,146,854,72,6,1,33,42,0.049,1,0.001,0,0.006,0.012,0,0,215,0,0.006,0.005,761,4
精華女子短期大学,私立,九州,短期大学,653,347,194,984,30,28,0,44,74,0.075,22,0.022,0.012,0.025,0.015,0.014,0.033,214,7,0.015,0.014,931,13
西九州大学短期大学部,私立,九州,短期大学,326,153,80,451,22,8,0,25,35,0.078,6,0.013,0.014,0.027,0.024,0.032,0.02,98,2,0.021,0.029,452,13
西南女学院大学短期大学部,私立,九州,短期大学,240,115,48,393,8,9,2,21,22,0.056,4,0.01,0,0.058,0.039,0.016,0.015,68,1,0.02,0.015,391,6
西日本短期大学,私立,九州,短期大学,473,207,127,575,22,12,2,23,72,0.125,24,0.042,0,0.051,0.064,0.015,0.081,136,11,0.054,0.022,538,12
折尾愛真短期大学,私立,九州,短期大学,85,,,48,,,,,,,,,,,,,,,,,,,
大分短期大学,私立,九州,短期大学,79,25,10,91,16,2,2,6,5,0.055,1,0.011,0,0,0,0,0.04,25,1,0.024,0.012,86,1
第一幼児教育短期大学,私立,九州,短期大学,235,140,74,321,4,10,0,9,38,0.118,9,0.028,0.091,0.02,0,0.027,0.037,81,3,0.009,0.026,272,7
筑紫女学園大学短期大学部,私立,九州,短期大学,136,68,4,458,8,6,0,27,27,0.059,11,0.024,0,0.015,0.013,0.02,0.015,65,1,0.017,0.01,512,5
中九州短期大学,私立,九州,短期大学,249,112,67,321,15,11,2,11,36,0.112,16,0.05,0.017,0,0.034,0.012,0.11,73,8,0.034,0.045,311,14
中村学園大学短期大学部,私立,九州,短期大学,1095,651,332,1597,81,15,0,117,85,0.053,11,0.007,0.003,0.01,0.006,0.003,0.009,347,3,0.009,0.005,1567,8
長崎女子短期大学,私立,九州,短期大学,371,231,107,608,9,5,1,33,47,0.077,6,0.01,0,0,0,0.015,0,140,0,0.014,0.01,584,6
長崎短期大学,私立,九州,短期大学,488,257,128,546,16,11,3,15,42,0.077,9,0.016,0.008,0.011,0.042,0.024,0.009,109,1,0.024,0.027,551,15
東海大学福岡短期大学,私立,九州,短期大学,184,109,66,211,26,7,0,14,20,0.095,9,0.043,0.045,0,0.053,0.026,0.043,47,2,0.044,0.026,228,6
東九州短期大学,私立,九州,短期大学,129,71,46,167,4,4,1,8,14,0.084,4,0.024,0.077,0,0.037,0,0.07,43,3,0.025,0.038,160,6
東筑紫短期大学,私立,九州,短期大学,573,313,178,955,48,23,5,62,73,0.076,22,0.023,0,0.011,0.036,0.044,0.029,204,6,0.019,0.024,934,22
南九州短期大学,私立,九州,短期大学,239,152,85,413,9,9,1,19,27,0.065,4,0.01,0,0.02,0.011,0.031,0,83,0,0.019,0.013,390,5
福岡こども短期大学,私立,九州,短期大学,499,323,190,669,24,27,0,32,79,0.118,31,0.046,0.046,0.074,0.092,0.014,0.037,164,6,0.067,0.047,590,28
福岡医療短期大学,私立,九州,短期大学,341,154,48,275,27,8,3,17,14,0.051,2,0.007,0.019,0,0.021,0,0.013,76,1,0.013,0,247,0
福岡工業大学短期大学部,私立,九州,短期大学,393,237,122,519,105,26,1,28,42,0.081,13,0.025,0.049,0.018,0.02,0.008,0.008,127,1,0.035,0.026,457,12
福岡女学院大学短期大学部,私立,九州,短期大学,211,122,56,377,17,9,3,24,26,0.069,4,0.011,0.01,0,0,0.034,0,69,0,0.01,0.025,436,11
福岡女子短期大学,私立,九州,短期大学,490,291,172,586,27,16,2,35,46,0.078,8,0.014,0.018,0.026,0,0,0.024,125,3,0.014,0.01,609,6
別府溝部学園短期大学,私立,九州,短期大学,280,152,86,385,9,8,1,19,32,0.083,12,0.031,0,0.014,0.024,0.047,0.032,94,3,0.03,0.026,349,9
別府大学短期大学部,私立,九州,短期大学,649,354,181,798,49,18,2,39,50,0.063,6,0.008,0.007,0.018,0,0.012,0.006,167,1,0.016,0.009,778,7
旭川大学,私立,北海道,大学（学部）,708,409,119,461,26,12,0,47,40,0.087,19,0.041,0.061,0.046,0.126,0.036,0.02,101,2,0.079,0.041,412,17
札幌学院大学,私立,北海道,大学（学部）,2683,1439,364,2701,215,154,23,202,172,0.064,59,0.022,0.028,0.05,0.024,0.027,0.02,539,11,0.031,0.026,2715,70
札幌国際大学,私立,北海道,大学（学部）,1155,626,196,1051,50,64,7,80,118,0.112,48,0.046,0.049,0.083,0.057,0.088,0.031,227,7,0.058,0.057,1006,57
札幌大学,私立,北海道,大学（学部）,2731,1408,441,2349,154,86,7,195,218,0.093,74,0.032,0.043,0.046,0.039,0.041,0.051,428,22,0.039,0.04,2402,96
札幌大谷大学,私立,北海道,大学（学部）,716,372,87,356,35,16,7,35,18,0.051,5,0.014,0.07,0.055,0.017,0,0,97,0,0.046,0.016,312,5
札幌保健医療大学,私立,北海道,大学（学部）,311,,,9,,,,,,,,,,,,,,,,,,,
星槎大学,私立,北海道,大学（学部）,4159,10,10,65,11,0,0,8,4,0.062,3,0.046,0,0,0,0,0,7,0,0.016,0.015,67,1
千歳科学技術大学,私立,北海道,大学（学部）,718,401,121,686,78,18,0,69,40,0.058,13,0.019,0.015,0.016,0.008,0.018,0.007,145,1,0.018,0.021,653,14
稚内北星学園大学,私立,北海道,大学（学部）,119,24,5,60,2,2,0,3,8,0.133,2,0.033,0,0.1,0,0,0,12,0,0.083,0.019,53,1
天使大学,私立,北海道,大学（学部）,737,381,103,469,37,8,0,60,16,0.034,1,0.002,0,0.012,0,0,0,104,0,0.007,0.002,452,1
藤女子大学,私立,北海道,大学（学部）,2192,831,223,1048,77,21,4,137,23,0.022,5,0.005,0.005,0,0,0,0.005,222,1,0.001,0.005,1010,5
道都大学,私立,北海道,大学（学部）,627,377,126,610,38,28,7,44,61,0.1,26,0.043,0.083,0.017,0.023,0.034,0.018,110,2,0.047,0.033,634,21
苫小牧駒澤大学,私立,北海道,大学（学部）,147,68,17,203,7,15,2,12,21,0.103,7,0.034,0.021,0.053,0.061,0.104,0,37,0,0.07,0.063,205,13
日本医療大学,私立,北海道,大学（学部）,222,,,3,,,,,,,,,,,,,,,,,,,
日本赤十字北海道看護大学,私立,北海道,大学（学部）,441,242,70,356,30,8,0,33,10,0.028,3,0.008,0,0,0,0,0,90,0,0.006,0.009,342,3
函館大学,私立,北海道,大学（学部）,335,214,46,385,28,15,5,28,41,0.106,13,0.034,0.061,0.025,0.084,0.017,0.015,66,1,0.064,0.042,402,17
北海学園大学,私立,北海道,大学（学部）,8284,3798,1091,5789,550,209,32,524,309,0.053,88,0.015,0.018,0.012,0.013,0.015,0.016,1145,18,0.021,0.02,5647,112
北海商科大学,私立,北海道,大学（学部）,685,326,91,471,47,12,3,31,28,0.059,7,0.015,0.035,0,0.022,0.025,0,113,0,0.006,0.022,418,9
北海道医療大学,私立,北海道,大学（学部）,3276,1562,389,1460,202,57,3,176,44,0.03,12,0.008,0.015,0.003,0.003,0.01,0.008,371,3,0.006,0.008,1271,10
北海道科学大学,私立,北海道,大学（学部）,3160,1788,608,2136,126,51,14,203,133,0.062,43,0.02,0.031,0.053,0.012,0.024,0.029,409,12,0.029,0.027,2191,59
北海道情報大学,私立,北海道,大学（学部）,3510,854,250,1202,70,50,6,127,114,0.095,46,0.038,0.054,0.06,0.017,0.028,0.055,273,15,0.042,0.029,1130,33
北海道文教大学,私立,北海道,大学（学部）,2334,1247,349,1483,129,29,3,178,56,0.038,13,0.009,0.005,0.004,0.01,0.012,0.011,361,4,0.006,0.011,1313,14
北海道薬科大学,私立,北海道,大学（学部）,1282,660,140,580,84,37,0,82,3,0.005,1,0.002,0,0,0.007,0,0,158,0,0.004,0,477,0
北星学園大学,私立,北海道,大学（学部）,3807,1861,524,2545,166,91,17,272,120,0.047,32,0.013,0.009,0.013,0.015,0.004,0.008,518,4,0.016,0.011,2468,26
北翔大学,私立,北海道,大学（学部）,1688,1009,302,1316,85,47,13,101,113,0.086,34,0.026,0.047,0.036,0.037,0.024,0.028,288,8,0.027,0.027,1311,36
酪農学園大学,私立,北海道,大学（学部）,3529,1529,383,1975,192,54,12,205,104,0.053,25,0.013,0.006,0.031,0.019,0.01,0.013,447,6,0.013,0.015,1921,29
いわき明星大学,私立,東北,大学（学部）,1097,515,114,1294,92,46,4,112,73,0.056,30,0.023,0.043,0.019,0.014,0.015,0.032,218,7,0.039,0.026,1343,35
ノースアジア大学,私立,東北,大学（学部）,764,354,109,403,28,17,2,31,25,0.062,8,0.02,0.022,0.011,0.053,0.027,0.042,71,3,0.046,0.038,448,17
奥羽大学,私立,東北,大学（学部）,905,398,88,365,58,31,0,32,13,0.036,5,0.014,0.08,0.016,0,0,0.013,78,1,0.013,0.013,315,4
岩手医科大学,私立,東北,大学（学部）,2139,613,135,471,78,24,3,45,18,0.038,8,0.017,0.059,0,0.009,0.008,0.028,142,4,0.02,0.017,359,6
宮城学院女子大学,私立,東北,大学（学部）,2797,1333,360,2263,146,56,10,285,77,0.034,13,0.006,0.02,0.006,0.004,0,0.003,395,1,0.011,0.009,2263,20
郡山女子大学,私立,東北,大学（学部）,281,136,39,290,9,2,0,34,10,0.034,0,0,0,0,0,0,0,49,0,0.022,0.014,289,4
弘前医療福祉大学,私立,東北,大学（学部）,498,379,101,278,24,8,4,16,9,0.032,3,0.011,0,0,0,0,0.021,94,2,0,0,185,0
弘前学院大学,私立,東北,大学（学部）,678,438,106,557,32,20,1,48,26,0.047,2,0.004,0.019,0.01,0,0.014,0,115,0,0.004,0.009,543,5
秋田看護福祉大学,私立,東北,大学（学部）,396,244,67,246,15,2,0,15,7,0.028,2,0.008,0,0,0,0,0,53,0,0.018,0.018,228,4
尚絅学院大学,私立,東北,大学（学部）,1924,998,273,1260,105,39,5,117,68,0.054,21,0.017,0.044,0.008,0.009,0.013,0.013,302,4,0.018,0.02,1074,22
盛岡大学,私立,東北,大学（学部）,1768,1133,321,1501,113,46,13,116,58,0.039,16,0.011,0.004,0.011,0.004,0.006,0.015,344,5,0.014,0.005,1358,7
青森大学,私立,東北,大学（学部）,989,610,152,702,52,34,4,49,47,0.067,14,0.02,0.017,0,0.034,0.042,0.013,153,2,0.029,0.027,673,18
青森中央学院大学,私立,東北,大学（学部）,684,489,195,361,21,7,1,27,26,0.072,8,0.022,0.061,0.051,0.027,0.036,0.013,78,1,0.048,0.036,338,12
石巻専修大学,私立,東北,大学（学部）,1149,582,196,1225,84,41,12,100,76,0.062,23,0.019,0.025,0.007,0.004,0.021,0.021,191,4,0.023,0.022,1280,28
仙台大学,私立,東北,大学（学部）,2381,1458,426,1997,118,58,10,137,160,0.08,37,0.019,0.043,0.036,0.022,0.021,0.007,431,3,0.033,0.027,1868,50
仙台白百合女子大学,私立,東北,大学（学部）,1084,537,150,741,54,17,3,77,25,0.034,0,0,0.007,0,0.013,0,0,144,0,0.016,0.004,741,3
東日本国際大学,私立,東北,大学（学部）,445,226,76,376,22,4,0,30,34,0.09,15,0.04,0,0.099,0.067,0.036,0.025,80,2,0.082,0.043,351,15
東北医科薬科大学,私立,東北,大学（学部）,2051,1047,215,1029,131,48,1,155,12,0.012,3,0.003,0,0,0.004,0.008,0,222,0,0.004,0.003,863,3
東北学院大学,私立,東北,大学（学部）,11514,5814,1627,8569,725,188,30,784,457,0.053,127,0.015,0.024,0.023,0.017,0.016,0.015,1742,26,0.022,0.017,8242,141
東北芸術工科大学,私立,東北,大学（学部）,2270,1221,354,1619,135,70,12,168,91,0.056,17,0.011,0.02,0.02,0.012,0.003,0.012,345,4,0.015,0.015,1563,23
東北公益文科大学,私立,東北,大学（学部）,631,415,120,606,33,19,3,29,46,0.076,10,0.017,0.015,0.008,0.01,0.046,0.009,110,1,0.018,0.025,606,15
東北工業大学,私立,東北,大学（学部）,2615,1371,427,2176,211,48,4,167,138,0.063,41,0.019,0.038,0.033,0.014,0.025,0.02,441,9,0.025,0.023,2147,49
東北女子大学,私立,東北,大学（学部）,375,281,76,310,19,4,1,11,14,0.045,1,0.003,0,0,0,0,0,63,0,0.007,0.003,295,1
東北生活文化大学,私立,東北,大学（学部）,366,207,59,287,7,14,0,27,18,0.063,9,0.031,0.017,0.03,0,0.055,0.054,56,3,0.015,0.024,295,7
東北福祉大学,私立,東北,大学（学部）,8643,2829,827,3651,271,51,22,338,181,0.05,43,0.012,0.022,0.001,0.013,0.009,0.009,809,7,0.016,0.014,3438,49
東北文化学園大学,私立,東北,大学（学部）,1938,1088,327,1630,124,47,14,132,110,0.067,27,0.017,0.049,0.031,0.048,0.036,0.006,356,2,0.046,0.025,1564,39
東北文教大学,私立,東北,大学（学部）,293,147,39,102,17,0,0,8,6,0.059,1,0.01,0,0,0,0,0.024,41,1,0,0,61,0
日本赤十字秋田看護大学,私立,東北,大学（学部）,439,300,66,213,24,2,0,23,10,0.047,1,0.005,0,0,0,0.015,0,61,0,0,0.007,153,1
八戸学院大学,私立,東北,大学（学部）,548,377,115,375,27,8,1,23,34,0.091,9,0.024,0.012,0.076,0.037,0.015,0.012,81,1,0.043,0.016,379,6
八戸工業大学,私立,東北,大学（学部）,1084,732,213,1100,44,27,7,80,66,0.06,24,0.022,0.013,0.031,0.01,0.035,0.042,213,9,0.023,0.031,1104,34
富士大学,私立,東北,大学（学部）,725,424,122,633,34,22,1,29,72,0.114,27,0.043,0.081,0.061,0.01,0.021,0.014,143,2,0.049,0.04,570,23
福島学院大学,私立,東北,大学（学部）,227,109,38,206,4,11,0,16,12,0.058,5,0.024,0.028,0.073,0.024,0,0.051,39,2,0.01,0.014,208,3
つくば国際大学,私立,関東甲信越,大学（学部）,1444,698,260,678,116,4,0,62,31,0.046,8,0.012,0.053,0.035,0.013,0.012,0.019,155,3,0.023,0.014,568,8
ものつくり大学,私立,関東甲信越,大学（学部）,1082,397,134,543,41,15,1,45,49,0.09,20,0.037,0.08,0.016,0.026,0.02,0.042,95,4,0.034,0.024,572,14
フェリス女学院大学,私立,関東甲信越,大学（学部）,2581,686,219,996,58,22,12,104,50,0.05,16,0.016,0.017,0.014,0.015,0.015,0.005,213,1,0.015,0.02,946,19
愛国学園大学,私立,関東甲信越,大学（学部）,36,,,8,,,,,,,,,,,,,,,,,,,
茨城キリスト教大学,私立,関東甲信越,大学（学部）,2492,976,298,1115,81,27,0,99,48,0.043,12,0.011,0.022,0.013,0.005,0.018,0.012,256,3,0.022,0.01,1059,11
宇都宮共和大学,私立,関東甲信越,大学（学部）,293,97,26,99,13,4,1,3,4,0.04,1,0.01,0,0,0.071,0,0,41,0,0.062,0.014,74,1
浦和大学,私立,関東甲信越,大学（学部）,636,260,68,412,22,13,1,31,44,0.107,15,0.036,0.043,0.053,0.047,0.029,0.027,75,2,0.038,0.027,411,11
横浜商科大学,私立,関東甲信越,大学（学部）,1058,339,109,571,33,19,1,32,53,0.093,18,0.032,0.036,0.025,0.016,0.024,0.01,96,1,0.032,0.017,584,10
横浜創英大学,私立,関東甲信越,大学（学部）,635,,,27,,,,,,,,,,,,,,,,,,,
横浜美術大学,私立,関東甲信越,大学（学部）,521,221,59,282,26,16,1,26,14,0.05,2,0.007,0,0.068,0.068,0.031,0,87,0,0.061,0.036,195,7
横浜薬科大学,私立,関東甲信越,大学（学部）,2257,852,216,755,164,44,1,108,42,0.056,15,0.02,0.033,0.039,0.045,0.011,0.029,205,6,0.035,0.019,592,11
開智国際大学,私立,関東甲信越,大学（学部）,240,87,14,225,16,12,0,12,26,0.116,8,0.036,0,0.026,0.063,0.037,0.068,44,3,0.04,0.04,224,9
鎌倉女子大学,私立,関東甲信越,大学（学部）,2410,858,239,1064,60,17,3,110,44,0.041,14,0.013,0.011,0.01,0.004,0,0.02,248,5,0.009,0.007,980,7
関東学院大学,私立,関東甲信越,大学（学部）,10483,3960,1162,6039,537,156,32,520,429,0.071,139,0.023,0.026,0.018,0.023,0.022,0.017,1210,20,0.028,0.025,5902,145
関東学園大学,私立,関東甲信越,大学（学部）,735,324,130,588,38,22,1,28,46,0.078,16,0.027,0.023,0.009,0.027,0.049,0.01,105,1,0.045,0.033,608,20
亀田医療大学,私立,関東甲信越,大学（学部）,335,,,14,,,,,,,,,,,,,,,,,,,
共愛学園前橋国際大学,私立,関東甲信越,大学（学部）,975,476,130,632,49,29,0,47,43,0.068,13,0.021,0.037,0.039,0.024,0.013,0.041,146,6,0.026,0.021,585,12
共栄大学,私立,関東甲信越,大学（学部）,1244,559,173,404,43,12,1,31,39,0.097,14,0.035,0.034,0.032,0.063,0.068,0.01,99,1,0.043,0.047,362,17
桐蔭横浜大学,私立,関東甲信越,大学（学部）,2146,1029,321,1074,98,40,3,87,91,0.085,39,0.036,0.087,0.039,0.031,0.048,0.054,280,15,0.052,0.039,877,34
桐生大学,私立,関東甲信越,大学（学部）,574,339,99,341,14,2,0,39,17,0.05,4,0.012,0.071,0.019,0.012,0.019,0.012,86,1,0.013,0.011,262,3
群馬パース大学,私立,関東甲信越,大学（学部）,794,474,157,455,40,2,0,43,17,0.037,3,0.007,0,0.014,0.011,0,0,108,0,0.016,0.009,430,4
群馬医療福祉大学,私立,関東甲信越,大学（学部）,1031,511,128,473,35,2,0,34,23,0.049,7,0.015,0.014,0,0,0,0.034,118,4,0.009,0.002,415,1
敬愛大学,私立,関東甲信越,大学（学部）,1182,505,190,484,45,17,0,39,41,0.085,16,0.033,0.117,0.03,0.026,0.009,0.036,139,5,0.043,0.038,390,15
敬和学園大学,私立,関東甲信越,大学（学部）,580,235,82,321,19,8,0,15,12,0.037,5,0.016,0,0.033,0,0.012,0.017,60,1,0.007,0.018,326,6
