Name,PublicOrPrivate,Area/Prefecture,SchoolClass,NumStudent,NumBorrower,NumNewBorrowerH27,NumExitLendingH22toH26,NumPostponeSchoolH27_ExitLendingH22toH26,NumPostponeGeneralH27_ExitLendingH22toH26,NumReductionH27_ExitLendingH22toH26,NumPaidUpH27_ExitLendingH22toH26,NumDelayedOver1DayH27_ExitLendingH22toH26,RatioDelayedOver1DayH27_ExitLendingH22toH26,NumDelayedOver3MonthsH27_ExitLendingH22toH26,RatioDelayedOver3MonthsH27_ExitLendingH22toH26,RatioDelayedOver3MonthsH23_ExitLendingH22,RatioDelayedOver3MonthsH24_ExitLendingH23,RatioDelayedOver3MonthsH25_ExitLendingH24,RatioDelayedOver3MonthsH26_ExitLendingH25,RatioDelayedOver3MonthsH27_ExitLendingH26,NumExitLendingH26,NumDelayedOver3MonthsH27_ExitLendingH26,RatioDelayedOver3MonthsH25_ExitLendingH20toH24,RatioDelayedOver3MonthsH26_ExitLendingH21toH25,NumExitLendingH21toH25,NumDelayedOver3MonthsH26_ExitLendingH21toH25
京都工芸繊維大学,国立,近畿,大学院,1145,447,213,1227,70,15,4,200,25,0.02,6,0.005,0.008,0,0,0.004,0.004,248,1,0.002,0.003,1204,4
京都大学,国立,近畿,大学院,7956,2609,1254,7971,939,267,41,1304,116,0.015,18,0.002,0.004,0.004,0.004,0.005,0.003,1492,5,0.004,0.004,8248,37
滋賀医科大学,国立,近畿,大学院,177,,,7,,,,,,,,,,,,,,,,,,,
滋賀大学,国立,近畿,大学院,161,18,7,74,6,7,0,7,6,0.081,2,0.027,0,0.053,0.158,0,0,10,0,0.071,0.036,84,3
神戸大学,国立,近畿,大学院,3956,1184,535,3531,319,130,27,583,56,0.016,12,0.003,0.003,0.004,0.003,0.002,0.006,616,4,0.006,0.003,3649,11
大阪教育大学,国立,近畿,大学院,405,98,43,307,13,17,1,37,14,0.046,2,0.007,0,0,0,0,0,56,0,0.01,0.006,315,2
大阪大学,国立,近畿,大学院,6738,2127,1045,7118,672,156,25,1205,124,0.017,15,0.002,0.003,0.006,0.001,0.008,0.003,1286,4,0.003,0.003,7233,24
奈良教育大学,国立,近畿,大学院,150,46,24,116,4,3,4,13,1,0.009,0,0,0,0,0,0,0,22,0,0.018,0.009,117,1
奈良女子大学,国立,近畿,大学院,475,142,64,411,48,9,1,65,8,0.019,0,0,0,0,0,0,0,82,0,0,0,430,0
奈良先端科学技術大学院大学,国立,近畿,大学院,905,566,280,1648,171,28,8,293,38,0.023,5,0.003,0,0,0.006,0,0,292,0,0.004,0.002,1694,4
兵庫教育大学,国立,近畿,大学院,788,146,71,483,38,16,3,75,23,0.048,6,0.012,0.029,0,0.01,0.02,0.025,81,2,0.014,0.01,517,5
和歌山大学,国立,近畿,大学院,415,133,71,531,19,11,5,86,25,0.047,3,0.006,0,0.008,0,0.009,0,107,0,0.006,0.008,524,4
岡山大学,国立,中国,大学院,2652,732,340,2175,120,70,20,350,33,0.015,5,0.002,0.004,0.002,0.005,0.007,0,400,0,0.003,0.004,2204,8
広島大学,国立,中国,大学院,3472,1128,535,3483,287,89,11,562,57,0.016,15,0.004,0.003,0.007,0,0.006,0.005,622,3,0.004,0.005,3634,19
山口大学,国立,中国,大学院,1381,497,261,1586,64,28,15,206,45,0.028,6,0.004,0,0.005,0,0.006,0.003,306,1,0.003,0.003,1545,5
鳥取大学,国立,中国,大学院,917,373,181,1319,66,15,12,211,28,0.021,5,0.004,0.003,0.003,0,0.004,0,211,0,0.004,0.004,1353,6
島根大学,国立,中国,大学院,644,223,117,692,29,42,6,95,15,0.022,2,0.003,0,0.007,0.007,0.014,0,127,0,0.004,0.008,723,6
愛媛大学,国立,四国,大学院,996,368,189,1078,57,22,11,169,30,0.028,0,0,0,0.005,0,0,0,206,0,0,0,1101,0
香川大学,国立,四国,大学院,805,181,84,621,15,35,4,85,15,0.024,1,0.002,0,0,0.007,0.017,0,111,0,0.003,0.006,627,4
高知大学,国立,四国,大学院,621,166,76,510,36,28,8,71,18,0.035,2,0.004,0.009,0.009,0.01,0.021,0,92,0,0.005,0.005,547,3
徳島大学,国立,四国,大学院,1474,470,238,1308,77,19,0,222,33,0.025,9,0.007,0,0,0.004,0.007,0.004,260,1,0.002,0.005,1286,6
鳴門教育大学,国立,四国,大学院,598,174,91,473,33,18,1,50,23,0.049,4,0.008,0,0.013,0.009,0.011,0,114,0,0.011,0.013,447,6
宮崎大学,国立,九州,大学院,668,289,142,877,49,20,4,110,36,0.041,2,0.002,0,0,0.011,0,0,159,0,0.012,0.008,882,7
九州工業大学,国立,九州,大学院,1422,791,407,2362,81,40,7,343,47,0.02,10,0.004,0,0.004,0.004,0.011,0.005,430,2,0.008,0.007,2400,17
九州大学,国立,九州,大学院,6903,2390,1188,7098,549,202,38,1021,167,0.024,30,0.004,0.005,0.005,0.003,0.003,0.002,1328,3,0.006,0.003,7214,19
熊本大学,国立,九州,大学院,1850,764,363,2326,123,61,9,320,44,0.019,11,0.005,0.007,0.01,0.002,0.002,0.009,424,4,0.006,0.003,2426,7
佐賀大学,国立,九州,大学院,790,305,143,1003,35,36,9,144,27,0.027,1,0.001,0.004,0,0,0,0,176,0,0.004,0.004,1044,4
鹿屋体育大学,国立,九州,大学院,72,35,15,77,14,2,0,10,3,0.039,1,0.013,0,0,0,0,0.067,15,1,0,0,76,0
鹿児島大学,国立,九州,大学院,1382,605,292,1873,92,80,19,247,51,0.027,9,0.005,0.005,0.005,0.011,0.003,0,323,0,0.007,0.005,1924,9
大分大学,国立,九州,大学院,626,273,135,751,35,22,2,92,18,0.024,2,0.003,0.007,0,0,0,0,155,0,0.012,0.007,735,5
長崎大学,国立,九州,大学院,1347,516,249,1282,61,21,2,178,28,0.022,3,0.002,0.004,0.004,0.008,0,0,266,0,0.005,0,1287,0
福岡教育大学,国立,九州,大学院,164,68,33,225,9,8,2,27,10,0.044,4,0.018,0,0,0,0.075,0.089,45,4,0.017,0.022,230,5
琉球大学,国立,九州,大学院,796,286,138,917,79,61,13,118,20,0.022,1,0.001,0.011,0.01,0,0.006,0,165,0,0.012,0.007,934,7
東北大学歯学部附属歯科技工士学校,国立,宮城,専修学校,34,,,30,,,,,,,,,,,,,,,,,,,
国立障害者リハビリテーションセンター,国立,埼玉,専修学校,69,,,21,,,,,,,,,,,,,,,,,,,
国立療養所多磨全生園附属看護学校,国立,東京,専修学校,36,,,12,,,,,,,,,,,,,,,,,,,
大阪大学歯学部附属歯科技工士学校,国立,大阪,専修学校,41,,,21,,,,,,,,,,,,,,,,,,,
国立障害者リハセンター自立支援局神戸視力障害センター,国立,兵庫,専修学校,25,,,2,,,,,,,,,,,,,,,,,,,
長島愛生園附属看護学校,国立,岡山,専修学校,42,,,50,,,,,,,,,,,,,,,,,,,
福岡視力障害センター,国立,福岡,専修学校,33,,,6,,,,,,,,,,,,,,,,,,,
東京都立産業技術高等専門学校,公立,東京,高等専門学校,1646,92,19,214,59,4,0,7,7,0.033,4,0.019,0,0,0.04,0,0.026,38,1,0.01,0,203,0
神戸市立工業高等専門学校,公立,近畿,高等専門学校,1271,78,19,121,29,1,0,9,3,0.025,1,0.008,0.053,0,0,0,0,21,0,0,0,122,0
大阪府立大学工業高等専門学校,公立,近畿,高等専門学校,859,35,7,96,26,0,2,3,0,0,0,0,0,0,0,0,0,17,0,0,0,102,0
名寄市立大学短期大学部,公立,北海道,短期大学,101,55,28,159,4,0,0,13,9,0.057,5,0.031,0,0,0,0,0,39,0,0.026,0.013,160,2
会津大学短期大学部,公立,東北,短期大学,325,184,100,559,36,10,2,41,16,0.029,8,0.014,0.028,0,0,0.02,0.009,115,1,0.009,0.011,563,6
岩手県立大学宮古短期大学部,公立,東北,短期大学,217,157,77,400,40,8,0,20,17,0.043,3,0.008,0.025,0.012,0,0,0.013,80,1,0.013,0.008,390,3
岩手県立大学盛岡短期大学部,公立,東北,短期大学,227,161,89,428,56,10,4,20,17,0.04,3,0.007,0.024,0.013,0,0.011,0,99,0,0.008,0.008,398,3
山形県立米沢女子短期大学,公立,東北,短期大学,595,387,191,1121,148,14,5,66,48,0.043,7,0.006,0.005,0,0.022,0.008,0.005,221,1,0.009,0.006,1102,7
川崎市立看護短期大学,公立,関東甲信越,短期大学,241,76,22,179,16,4,0,14,11,0.061,3,0.017,0,0,0.029,0.034,0,44,0,0.006,0.023,171,4
大月短期大学,公立,関東甲信越,短期大学,432,253,130,653,99,12,5,39,27,0.041,4,0.006,0,0.015,0.008,0.042,0,125,0,0.013,0.018,655,12
長野県短期大学,公立,関東甲信越,短期大学,556,225,113,602,69,4,1,45,15,0.025,4,0.007,0,0.027,0,0.008,0,129,0,0.003,0.003,597,2
岐阜市立女子短期大学,公立,東海北陸,短期大学,503,170,95,498,47,3,1,39,14,0.028,0,0,0,0,0,0,0,107,0,0.004,0,479,0
三重短期大学,公立,東海北陸,短期大学,684,256,128,683,78,27,4,70,31,0.045,9,0.013,0.014,0.03,0,0,0.02,152,3,0.017,0.012,664,8
静岡県立大学短期大学部,公立,東海北陸,短期大学,446,190,66,527,41,5,0,33,21,0.04,3,0.006,0,0,0.017,0,0,116,0,0.006,0,499,0
新見公立短期大学,公立,中国,短期大学,198,130,62,425,15,0,0,28,12,0.028,1,0.002,0.009,0,0.025,0,0.014,71,1,0.01,0.004,471,2
倉敷市立短期大学,公立,中国,短期大学,246,123,57,364,31,8,2,23,18,0.049,2,0.005,0,0,0,0.014,0.014,71,1,0.006,0.005,366,2
島根県立大学短期大学部,公立,中国,短期大学,502,247,129,995,51,7,2,57,40,0.04,6,0.006,0.005,0,0,0.005,0,160,0,0.004,0.007,1014,7
高知短期大学,公立,四国,短期大学,142,20,4,140,26,4,2,7,9,0.064,5,0.036,0.13,0,0,0,0.048,21,1,0.067,0.007,135,1
鹿児島県立短期大学,公立,九州,短期大学,576,293,150,744,63,23,1,48,38,0.051,6,0.008,0.021,0.013,0,0.007,0.007,152,1,0.008,0.021,757,16
大分県立芸術文化短期大学,公立,九州,短期大学,884,527,252,1498,208,63,14,93,76,0.051,15,0.01,0.013,0.022,0.003,0.01,0.007,288,2,0.011,0.008,1474,12
釧路公立大学,公立,北海道,大学（学部）,1324,827,239,1173,93,18,3,85,66,0.056,19,0.016,0.016,0.028,0.008,0.008,0.014,221,3,0.021,0.014,1177,17
公立はこだて未来大学,公立,北海道,大学（学部）,1070,626,167,852,125,14,0,66,32,0.038,7,0.008,0.013,0.012,0.006,0,0.006,169,1,0.013,0.01,815,8
札幌医科大学,公立,北海道,大学（学部）,1049,411,85,585,52,2,0,71,15,0.026,3,0.005,0.008,0,0,0,0,99,0,0.003,0.002,584,1
札幌市立大学,公立,北海道,大学（学部）,732,374,81,588,57,14,3,65,25,0.043,8,0.014,0.009,0,0,0.017,0.019,108,2,0.01,0.009,583,5
名寄市立大学,公立,北海道,大学（学部）,594,391,127,533,45,8,1,49,23,0.043,4,0.008,0,0.011,0.032,0.008,0,111,0,0.007,0.008,520,4
会津大学,公立,東北,大学（学部）,1067,504,147,761,135,13,3,74,27,0.035,3,0.004,0.023,0,0.006,0,0.013,155,2,0.014,0.011,738,8
岩手県立大学,公立,東北,大学（学部）,2008,1192,338,1763,218,32,9,148,53,0.03,15,0.009,0.01,0.009,0.008,0.022,0.003,379,1,0.014,0.015,1691,26
宮城大学,公立,東北,大学（学部）,1793,847,218,1258,115,14,1,132,43,0.034,9,0.007,0.008,0,0,0.004,0.004,247,1,0.011,0.006,1228,7
国際教養大学,公立,東北,大学（学部）,866,295,73,647,75,17,0,79,37,0.057,16,0.025,0.026,0.007,0.007,0.032,0.036,110,4,0.011,0.026,656,17
山形県立米沢栄養大学,公立,東北,大学（学部）,88,,,2,,,,,,,,,,,,,,,,,,,
山形県立保健医療大学,公立,東北,大学（学部）,410,270,74,333,26,5,0,30,5,0.015,0,0,0,0,0,0,0,63,0,0.009,0.009,335,3
秋田県立大学,公立,東北,大学（学部）,1635,848,250,1328,210,19,2,94,27,0.02,1,0.001,0.008,0.008,0.008,0,0,282,0,0.01,0.004,1267,5
秋田公立美術大学,公立,東北,大学（学部）,323,,,15,,,,,,,,,,,,,,,,,,,
青森県立保健大学,公立,東北,大学（学部）,928,685,195,840,55,7,2,75,20,0.024,3,0.004,0.025,0,0,0,0.012,170,2,0.007,0.005,791,4
青森公立大学,公立,東北,大学（学部）,1299,868,239,1126,84,18,6,87,51,0.045,8,0.007,0.015,0.009,0.013,0.009,0.004,254,1,0.011,0.013,1069,14
福島県立医科大学,公立,東北,大学（学部）,1075,371,92,413,54,5,0,41,5,0.012,2,0.005,0,0.013,0,0,0,83,0,0.005,0.002,408,1
茨城県立医療大学,公立,関東甲信越,大学（学部）,714,296,71,432,41,4,2,45,9,0.021,3,0.007,0,0,0.011,0,0,91,0,0.005,0.002,416,1
横浜市立大学,公立,関東甲信越,大学（学部）,4125,1338,400,2074,328,33,7,265,76,0.037,20,0.01,0,0.007,0.011,0.012,0.009,422,4,0.01,0.011,2006,23
群馬県立県民健康科学大学,公立,関東甲信越,大学（学部）,477,256,72,364,24,1,0,29,8,0.022,1,0.003,0,0,0,0,0.016,61,1,0,0,356,0
群馬県立女子大学,公立,関東甲信越,大学（学部）,993,496,134,668,73,19,2,64,23,0.034,4,0.006,0.01,0,0.015,0,0.02,147,3,0.015,0.006,645,4
高崎経済大学,公立,関東甲信越,大学（学部）,3986,1809,492,2803,240,42,4,243,160,0.057,50,0.018,0.023,0.016,0.014,0.021,0.029,578,17,0.016,0.018,2728,49
埼玉県立大学,公立,関東甲信越,大学（学部）,1675,665,202,1058,83,8,2,173,19,0.018,5,0.005,0.005,0.009,0.004,0,0.005,206,1,0.007,0.005,1063,5
山梨県立大学,公立,関東甲信越,大学（学部）,1144,547,151,818,69,11,2,67,27,0.033,3,0.004,0,0.007,0,0.019,0.005,205,1,0.009,0.008,730,6
新潟県立看護大学,公立,関東甲信越,大学（学部）,381,187,46,306,18,0,0,30,5,0.016,1,0.003,0,0,0,0,0,62,0,0,0,305,0
新潟県立大学,公立,関東甲信越,大学（学部）,1085,571,149,481,71,8,0,47,14,0.029,3,0.006,0,0,0,0.007,0,164,0,0,0.003,322,1
神奈川県立保健福祉大学,公立,関東甲信越,大学（学部）,970,333,81,529,37,6,2,72,18,0.034,6,0.011,0,0.008,0,0,0.018,112,2,0.01,0.006,542,3
千葉県立保健医療大学,公立,関東甲信越,大学（学部）,722,257,60,274,32,2,0,29,7,0.026,1,0.004,0,0,0,0,0,86,0,0,0,190,0
前橋工科大学,公立,関東甲信越,大学（学部）,1166,547,162,734,132,18,0,47,36,0.049,8,0.011,0.009,0.021,0,0.032,0.006,178,1,0.017,0.019,644,12
長岡造形大学,公立,関東甲信越,大学（学部）,890,418,134,589,55,25,5,43,23,0.039,5,0.008,0.009,0,0,0.015,0.018,113,2,0.007,0.009,585,5
長野県看護大学,公立,関東甲信越,大学（学部）,342,138,32,235,18,1,0,26,3,0.013,0,0,0,0,0,0,0,53,0,0.008,0,230,0
都留文科大学,公立,関東甲信越,大学（学部）,3261,1648,455,2381,236,50,14,225,114,0.048,21,0.009,0.014,0.011,0.016,0.014,0.017,463,8,0.012,0.014,2337,33
首都大学東京,公立,東京,大学（学部）,6963,2043,542,3448,682,62,9,384,111,0.032,31,0.009,0.017,0.014,0.018,0.015,0.011,697,8,0.015,0.012,3484,42
愛知県立芸術大学,公立,東海北陸,大学（学部）,810,271,64,460,92,27,4,30,16,0.035,5,0.011,0.024,0,0,0,0.032,95,3,0.009,0.011,440,5
愛知県立大学,公立,東海北陸,大学（学部）,3253,963,245,1360,153,12,3,168,42,0.031,8,0.006,0.007,0.015,0.007,0,0.004,266,1,0.01,0.005,1385,7
岐阜県立看護大学,公立,東海北陸,大学（学部）,321,112,28,185,10,1,0,30,0,0,0,0,0,0,0,0,0,39,0,0,0,185,0
岐阜薬科大学,公立,東海北陸,大学（学部）,701,236,40,294,84,9,1,40,6,0.02,0,0,0,0,0,0,0,72,0,0,0,256,0
金沢美術工芸大学,公立,東海北陸,大学（学部）,635,311,86,451,73,18,2,43,25,0.055,10,0.022,0.024,0.026,0.011,0.011,0.039,103,4,0.012,0.009,434,4
三重県立看護大学,公立,東海北陸,大学（学部）,419,128,37,221,18,2,0,36,4,0.018,0,0,0,0,0,0,0,40,0,0.004,0,214,0
静岡県立大学,公立,東海北陸,大学（学部）,2639,947,276,1298,247,11,2,149,32,0.025,7,0.005,0.005,0.012,0,0.016,0.007,281,2,0.005,0.011,1201,13
静岡文化芸術大学,公立,東海北陸,大学（学部）,1399,586,155,791,83,9,3,75,21,0.027,6,0.008,0.014,0.006,0,0,0.006,180,1,0.011,0.004,752,3
